Sl.No,Description,Tour
1, Seasonal Special Tours,3 days Ooty Tour
2, Seasonal Special Tours,3 days Kodaikanal Tour
3, Seasonal Special Tours,3 days Yercaud – Hogenakkal Tour
4, Seasonal Special Tours,3 days Bangalore – Mysore Tour
5, Seasonal Special Tours,3 days Munnar Tour
6, Seasonal Special Tours,3 days Courtallam Tour
7,Leave Travel Concession Tours for Tamil Nadu State Government / Undertaking Employees,5 days - Chidambaram - Poompuhar - Nagoor - Thanjavur - Madurai – Trichy Tour
8,Leave Travel Concession Tours for Tamil Nadu State Government / Undertaking Employees,5 days - Thanjavur Tharasuram - Rameswaram - Kanniyakumari – Madurai Tour
9,Leave Travel Concession Tours for Tamil Nadu State Government / Undertaking Employees,5 days  - Thanjavur - Madurai - Kodaikanal - Palani – Trichy Tour
10,Leave Travel Concession Tours for Tamil Nadu State Government / Undertaking Employees Leave Travel Concession Tours,4 days – Hogenakkal - Ooty - Chidambaram - Pitchavaram – Pondicherry Tour.
11,Seasonal Special Tours - Rail Cum Road Tour,4 days – Ooty Train Tour
12,Seasonal Special Tours - Rail Cum Road Tour,4 days – Kodaikanal Train Tour
13,Rail Cum Road Tour from Other States,11 days – Mumbai Tour
14,Rail Cum Road Tour from Other States,11 days – Delhi Tour
15,Rail Cum Road Tour from Other States,11 days – Kolkata Tour
16,Rail Cum Road Tour from Other States,11 days – Jaipur Tour
17,Rail Cum Road Tour from Other States,12 days – Ahamedabad Tour
